Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
38500,168568,126561,4296,60939,91460,18460,23285,126699754,82346,51534,9424,259674973,55897,97182024,23008,89700725,48177,118930173,10482,86064018,19597419
38750,164432,144378,3823,52105,48470,19247,24610,130633525,79633,51475,9372,397632967,53215,97013597,22439,83478590,46843,118926924,10208,142712792,19563778
39000,241637,129061,4351,46190,51196,19189,24834,133183585,94761,53278,9479,137215129,53609,95413596,22536,92777412,47559,124068098,11278,186538156,19671977
39250,166086,129014,3844,43995,50544,19406,23981,163091691,83521,52950,10072,117894911,55004,97016325,32365,86724274,45437,121167522,11044,70753406,19586294
39500,182267,143502,3768,43399,68286,18417,25201,152910672,84777,52641,9445,209426792,57171,115452900,21538,128999146,59721,126572917,11128,70115354,19576966
39750,162965,210908,4286,43415,56345,26175,24462,131104624,85252,57018,9454,350121284,58265,98314348,21990,89665705,49151,144812156,12374,75519765,19716849
40000,163436,131902,3842,43630,55100,18428,25768,143366735,82641,51444,9553,227291680,51489,102387971,22533,93242404,47450,123555368,11592,74066917,21064698
40250,180205,141670,3852,53133,101003,20961,31940,144964468,92875,50262,9431,214612186,51901,104790392,22594,92569998,50501,127683729,11166,73458115,21908664
40500,164371,152096,3891,47904,82080,19815,36388,147536525,86130,50464,9582,526939628,53989,102966877,22368,92248454,45672,126805994,12166,85853790,20295785
40750,162719,138670,4276,46396,87843,18445,32271,137384813,85789,53926,10023,481640827,54007,111243702,21733,94651188,52572,132157569,10227,77551773,20953820
41000,180497,143130,3873,44079,158042,18702,37632,163377073,87678,54609,18465,290044534,51327,105099627,20712,100715938,45945,128148395,10250,79812004,26493206
41250,158408,145250,3784,45513,58808,20468,43973,167062220,85938,52715,9564,286891487,63027,108245705,21215,94839286,43339,125229006,10013,78701184,22037598
41500,180753,135871,3904,47014,56782,17188,30889,157090103,99697,63761,9468,218518989,54520,106963090,23229,101469237,47837,128318152,10552,83082924,20814650
41750,170429,145157,3798,45804,58768,17337,31750,173708462,86611,51083,9985,200328957,54204,111387062,23285,98244321,61350,136826432,10469,77276973,21759215
42000,166293,149988,3860,44175,53991,18484,33227,229019153,84745,51575,9491,197485090,50628,111911902,22775,95973669,47243,137147460,10824,85261942,20908329
42250,221131,138948,3871,42089,75916,20435,30426,165275200,3114080,55013,7488,210573896,52238,106681909,25252,94766543,45447,152622628,9795,76801755,24235682
42500,167755,147408,3939,53140,64161,19262,27939,191060248,76919,52563,6929,131854797,47505,110800356,22362,105199351,46463,138384874,11013,80556629,21372352
42750,179346,152641,3878,45743,53138,19412,25276,161649430,95015,53374,6883,124869536,68308,116794318,22875,97228372,45035,140838252,9970,77687873,21711103
